h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
0.0000000000000001,0.0000000000000100,0.5398278372770290,1.3322676295501878,0.5398278372770290,0.7924397922731589,0.0000000000000000,0.0198476273738506,-133226762955018.7812500000000000,-71054273576010.0156250000000000,0.0000000000000000,133226762955018.7968750000000000,71054273576010.0312500000000000,0.0198476273738506
0.0000000000000003,0.0000000000000332,0.5398278372770290,0.4274458146430641,0.5398278372770289,0.1123820226339649,0.0000000000000001,0.0198476273738506,4821400474783.3574218750000000,-6428533966377.8105468750000000,0.0171290554177381,4821400474783.3378906250000000,6428533966377.8300781250000000,0.0027185719561125
0.0000000000000011,0.0000000000001105,0.5398278372770290,0.6107107268058944,0.5398278372770290,0.0708828895288655,0.0000000000000000,0.0198476273738506,-945120204248.9522705078125000,-581612433383.9705810546875000,0.0227293269262805,945120204248.9721679687500000,581612433383.9904785156250000,0.0028816995524299
0.0000000000000037,0.0000000000003675,0.5398278372770290,0.5269134919546101,0.5398278372770288,0.0129143453224189,0.0000000000000002,0.0198476273738506,52620554614.1685028076171875,-52620554614.1685028076171875,0.0186945764163825,52620554614.1486587524414062,52620554614.1883468627929688,0.0011530509574681
0.0000000000000122,0.0000000000012217,0.5398278372770290,0.5416265785888204,0.5398278372770290,0.0017987413117914,0.0000000000000000,0.0198476273738506,-2975480974.2808318138122559,-4760769558.8493309020996094,0.0198904537328091,2975480974.3006792068481445,4760769558.8691787719726562,0.0000428263589585
0.0000000000000406,0.0000000000040616,0.5398278372770290,0.5401340025638490,0.5398278372770292,0.0003061652868200,0.0000000000000002,0.0198476273738506,-215361914.7370572388172150,-430723829.4741144776344299,0.0197829225621197,215361914.7569048702716827,430723829.4939621090888977,0.0000647048117309
0.0000000000001350,0.0000000000135031,0.5398278372770290,0.5388344792490856,0.5398278372770292,0.0009933580279434,0.0000000000000002,0.0198476273738506,102293949.3986832499504089,-38969123.5804507583379745,0.0198476384003265,102293949.3788356184959412,38969123.6002983823418617,0.0000000110264759
0.0000000000004489,0.0000000000448925,0.5398278372770290,0.5396831128181026,0.5398278372770289,0.0001447244589264,0.0000000000000001,0.0198476273738506,5288513.7368039246648550,-3525675.8245359496213496,0.0198551649241623,5288513.7169562969356775,3525675.8443835768848658,0.0000075375503117
0.0000000000014925,0.0000000001492496,0.5398278372770290,0.5398177093159771,0.5398278372770288,0.0000101279610519,0.0000000000000002,0.0198476273738506,358853.0479345247149467,-318980.4870529108447954,0.0198470780380955,358853.0280868973350152,318980.5069005382247269,0.0000005493357550
0.0000000000049619,0.0000000004961948,0.5398278372770290,0.5398309497326343,0.5398278372770288,0.0000031124556054,0.0000000000000002,0.0198476273738506,-43288.9562955941437394,-28859.3041970627600676,0.0198489019177210,43288.9761432215163950,28859.3240446901327232,0.0000012745438704
0.0000000000164965,0.0000000016496481,0.5398278372770290,0.5398294059086309,0.5398278372770290,0.0000015686316019,0.0000000000000000,0.0198476273738506,-3263.7554354557064471,-2611.0043483645649758,0.0198475836581768,3263.7752830830804669,2611.0241959919389956,0.0000000437156738
0.0000000000548442,0.0000000054844166,0.5398278372770290,0.5398273300221879,0.5398278372770291,0.0000005072548411,0.0000000000000001,0.0198476273738506,0.0000000000000000,-236.2268910098160006,0.0198476650092502,0.0198476273738506,236.2467386371898499,0.0000000376353996
0.0000000001823348,0.0000000182334800,0.5398278372770290,0.5398275295115057,0.5398278372770289,0.0000003077655233,0.0000000000000001,0.0198476273738506,29.3868997567107719,-21.3722907321532887,0.0198476097781591,29.3670521293369227,21.3921383595271379,0.0000000175956915
0.0000000006061899,0.0000000606189899,0.5398278372770290,0.5398276628943642,0.5398278372770291,0.0000001743826648,0.0000000000000001,0.0198476273738506,3.6255515501463993,-1.9336274934114130,0.0198476312510387,3.6057039227725487,1.9534751207852636,0.0000000038771881
0.0000000020153377,0.0000002015337686,0.5398278372770290,0.5398278293752569,0.5398278372770288,0.0000000079017721,0.0000000000000002,0.0198476273738506,-0.2405455072146696,-0.1749421870652142,0.0198476261502108,0.2603931345885201,0.1947898144390648,0.0000000012236398
0.0000000067001875,0.0000006700187504,0.5398278372770290,0.5398278344200255,0.5398278372770290,0.0000000028570035,0.0000000000000000,0.0198476273738506,0.0633105785254760,0.0158276446313690,0.0198476282872525,0.0434629511516254,0.0040199827424816,0.0000000009134019
0.0000000222754295,0.0000022275429520,0.5398278372770290,0.5398278605223039,0.5398278372770287,0.0000000232452749,0.0000000000000003,0.0198476273738506,0.0170048046900875,0.0415275230326346,0.0198476272437027,0.0028428226837631,0.0216798956587840,0.0000000001301479
0.0000000740568469,0.0000074056846923,0.5398278372770290,0.5398279111906396,0.5398278372770289,0.0000000739136106,0.0000000000000001,0.0198476273738506,0.0196440297366733,0.0400330103124949,0.0198476273994208,0.0002035976371773,0.0201853829386443,0.0000000000255702
0.0000002462092401,0.0000246209240149,0.5398278372770290,0.5398280812795409,0.5398278372770297,0.0000002440025119,0.0000000000000007,0.0198476273738506,0.0198722610180647,0.0397005665815440,0.0198476273804413,0.0000246336442141,0.0198529392076934,0.0000000000065907
0.0000008185467307,0.0000818546730707,0.5398278372770290,0.5398286495123986,0.5398278372770291,0.0000008122353696,0.0000000000000001,0.0198476273738506,0.0198500995994381,0.0396970177532731,0.0198476273781883,0.0000024722255875,0.0198493903794225,0.0000000000043377
0.0000027213387684,0.0002721338768375,0.5398278372770290,0.5398305378925673,0.5398278372770287,0.0000027006155383,0.0000000000000003,0.0198476273738506,0.0198475551690159,0.0396952782428023,0.0198476273712295,0.0000000722048346,0.0198476508689517,0.0000000000026211
0.0000090473572423,0.0009047357242349,0.5398278372770290,0.5398368156657749,0.5398278372770291,0.0000089783887459,0.0000000000000001,0.0198476273738506,0.0198473399529974,0.0396952658424216,0.0198476273713663,0.0000002874208532,0.0198476384685710,0.0000000000024843
0.0000300788251804,0.0030078825180431,0.5398278372770290,0.5398576864945476,0.5398278372770290,0.0000298492175186,0.0000000000000000,0.0198476273738506,0.0198467303793150,0.0396952535378767,0.0198476273420436,0.0000008969945355,0.0198476261640261,0.0000000000318069
0.0001000000000000,0.0100000000000000,0.5398278372770290,0.5399270704495862,0.5398278372770290,0.0000992331725572,0.0000000000000000,0.0198476273738506,0.0198446478361092,0.0396952547276896,0.0198476270223645,0.0000029795377414,0.0198476273538391,0.0000000003514861
