h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
0.0000000000000001,0.0000000000000100,0.5001044079654555,1.4210854715202004,0.5001044079654976,0.9209810635547448,0.0000000000000421,7.6217813042403906,-142108547152020.0312500000000000,-0.0000000000000000,0.0000000000000000,142108547152027.6562500000000000,7.6217813042403906,7.6217813042403906
0.0000000000000003,0.0000000000000332,0.5001044079654555,0.5210539434845749,0.5001044079654872,0.0209495355191194,0.0000000000000316,7.6217813042403906,0.0000000000000000,-0.0000000000000000,8.7700763738818885,7.6217813042403906,7.6217813042403906,1.1482950696414980
0.0000000000000011,0.0000000000001105,0.5001044079654555,0.5344660539331807,0.5001044079653991,0.0343616459677252,0.0000000000000564,7.6217813042403906,283990445.9882668852806091,-0.0000000000000000,7.4056279730717405,283990438.3664855957031250,7.6217813042403906,0.2161533311686501
0.0000000000000037,0.0000000000003675,0.5001044079654555,0.5294343832668214,0.5001044079654653,0.0293299753013658,0.0000000000000098,7.6217813042403906,-164439233169.2765808105468750,-0.0000000000000000,6.8915686501352544,164439233176.8983764648437500,7.6217813042403906,0.7302126541051361
0.0000000000000122,0.0000000000012217,0.5001044079654555,0.4930216137579287,0.5001044079653854,0.0070827942075268,0.0000000000000702,7.6217813042403906,12199471994.5514106750488281,-0.0000000000000000,7.6206146546381408,12199471986.9296302795410156,7.6217813042403906,0.0011666496022498
0.0000000000000406,0.0000000000040616,0.5001044079654555,0.4997828354125473,0.5001044079654059,0.0003215725529083,0.0000000000000496,7.6217813042403906,210314.3698604074597824,-0.0000000000000000,7.6467851170807215,210306.7480791032139678,7.6217813042403906,0.0250038128403309
0.0000000000001350,0.0000000000135031,0.5001044079654555,0.4997364822000718,0.5001044079654244,0.0003679257653837,0.0000000000000311,7.6217813042403906,82828415.5008311271667480,-0.0000000000000000,7.6305663518512361,82828407.8790498226881027,7.6217813042403906,0.0087850476108455
0.0000000000004489,0.0000000000448925,0.5001044079654555,0.5000403501394179,0.5001044079654052,0.0000640578260376,0.0000000000000503,7.6217813042403906,1983192.6513014717493206,-0.0000000000000000,7.6260251016213960,1983185.0295201675035059,7.6217813042403906,0.0042437973810054
0.0000000000014925,0.0000000001492496,0.5001044079654555,0.5001607778421034,0.5001044079654255,0.0000563698766479,0.0000000000000300,7.6217813042403906,-398881.3610070823924616,-0.0000000000000000,7.6211294297644638,398888.9827883866382763,7.6217813042403906,0.0006518744759267
0.0000000000049619,0.0000000004961948,0.5001044079654555,0.5001154802234656,0.5001044079654556,0.0000110722580101,0.0000000000000001,7.6217813042403906,-68526.7560108965844847,-0.0000000000000000,7.6217633178329738,68534.3777922008302994,7.6217813042403906,0.0000179864074168
0.0000000000164965,0.0000000016496481,0.5001044079654555,0.5001047944817951,0.5001044079654711,0.0000003865163396,0.0000000000000155,7.6217813042403906,1972.2772104101475179,-0.0000000000000000,7.6217639272149382,1964.6554291059071602,7.6217813042403906,0.0000173770254523
0.0000000000548442,0.0000000054844166,0.5001044079654555,0.5001053316242301,0.5001044079654235,0.0000009236587746,0.0000000000000320,7.6217813042403906,-221.1166748368248420,-0.0000000000000000,7.6217638476206959,228.7384561410652282,7.6217813042403906,0.0000174566196947
0.0000000001823348,0.0000000182334800,0.5001044079654555,0.5001045117018378,0.5001044079654478,0.0000001037363823,0.0000000000000078,7.6217813042403906,15.2569770753945839,-0.0000000000000000,7.6217776967820301,7.6351957711541933,7.6217813042403906,0.0000036074583605
0.0000000006061899,0.0000000606189899,0.5001044079654555,0.5001046346748913,0.5001044079654142,0.0000002267094358,0.0000000000000413,7.6217813042403906,5.5752296623996065,15.4690199472913044,7.6217812994248675,2.0465516418407841,7.8472386430509138,0.0000000048155231
0.0000000020153377,0.0000002015337686,0.5001044079654555,0.5001051699357173,0.5001044079654648,0.0000007619702618,0.0000000000000093,7.6217813042403906,7.6116935571323783,15.3949124617388531,7.6217815758197078,0.0100877471080123,7.7731311574984625,0.0000002715793173
0.0000000067001875,0.0000006700187504,0.5001044079654555,0.5001069618572556,0.5001044079654227,0.0000025538918000,0.0000000000000329,7.6217813042403906,7.6086919126885508,15.2578494246397227,7.6217810675970936,0.0130893915518397,7.6360681203993321,0.0000002366432970
0.0000000222754295,0.0000022275429520,0.5001044079654555,0.5001128953176808,0.5001044079653273,0.0000084873522253,0.0000000000001282,7.6217813042403906,7.6230826359400119,15.2477608707411569,7.6217813610909761,0.0013013316996213,7.6259795665007664,0.0000000568505856
0.0000000740568469,0.0000074056846923,0.5001044079654555,0.5001326301308413,0.5001044079653846,0.0000282221653858,0.0000000000000709,7.6217813042403906,7.6219594499391903,15.2436375189907682,7.6217812937061105,0.0001781456987997,7.6218562147503777,0.0000000105342801
0.0000002462092401,0.0000246209240149,0.5001044079654555,0.5001982356753973,0.5001044079655650,0.0000938277099418,0.0000000000001095,7.6217813042403906,7.6217689183478932,15.2435875498570539,7.6217811663521662,0.0000123858924974,7.6218062456166633,0.0000001378882244
0.0000008185467307,0.0000818546730707,0.5001044079654555,0.5004163468418494,0.5001044079655299,0.0003119388763939,0.0000000000000744,7.6217813042403906,7.6217659721383608,15.2435593738887807,7.6217797521888802,0.0000153321020298,7.6217780696483901,0.0000015520515104
0.0000027213387684,0.0002721338768375,0.5001044079654555,0.5011414766618230,0.5001044079653020,0.0010370686963674,0.0000000000001535,7.6217813042403906,7.6216300936811674,15.2435625187344286,7.6217641364537254,0.0001512105592232,7.6217812144940380,0.0000171677866652
0.0000090473572423,0.0009047357242349,0.5001044079654555,0.5035521554410497,0.5001044079653781,0.0034477474755942,0.0000000000000774,7.6217813042403906,7.6203497538062512,15.2435626032600471,7.6215915457112722,0.0014315504341393,7.6217812990196565,0.0001897585291184
0.0000300788251804,0.0030078825180431,0.5001044079654555,0.5115637937041281,0.5001044079654906,0.0114593857386726,0.0000000000000351,7.6217813042403906,7.6067782091892919,15.2435626021115347,7.6196843843003599,0.0150030950510986,7.6217812978711441,0.0020969199400307
0.0001000000000000,0.0100000000000000,0.5001044079654555,0.5380959335645225,0.5001044079654626,0.0379915255990669,0.0000000000000071,7.6217813042403906,7.4609971391587786,15.2435625379609974,7.5986617353152042,0.1607841650816120,7.6217812337206068,0.0231195689251864
